HR,RA(J2000),DEC(J2000),Double.Name,Teff(K),Error_Teff(K),logg,Error_logg,[M/H],Error_[M/H],standard_B,Error_standard_B,standard_G,Error_standard_G,standard_R,Error_standard_R,STC_B,STC_G,STC_R,STC_L,Parallax
2470,101.5588758,59.4416731,---,8828,75,4.0,0.028,-0.5,0.741,4.779,0.007,4.846,0.009,4.948,0.012,4.8098,4.8442,5.0053,4.013,15.19
2564,103.6609783,13.1778392,---,6984,77,3.591,0.096,-0.206,0.232,4.729,0.011,4.651,0.01,4.618,0.009,4.8082,4.6596,4.6148,3.8391,33.9184
5127,204.3651158,36.2948983,---,7655,48,3.585,0.083,-0.156,0.245,4.75,0.01,4.739,0.009,4.767,0.009,4.8081,4.7424,4.7926,3.9209,16.42
3903,147.8695578,-14.8466031,---,5063,32,2.611,0.34,0.043,0.127,4.579,0.009,4.187,0.007,3.919,0.007,4.8075,4.2287,3.8285,3.3902,12.36
6636,265.4848139,72.1488467,---,6678,47,3.941,0.103,0.0,0.125,4.707,0.014,4.586,0.011,4.516,0.009,4.8066,4.5989,4.4987,3.7799,43.95
3849,145.0765206,-14.3322964,---,15472,1033,4.461,0.076,-2.0,1.853,4.83,0.012,4.986,0.012,5.159,0.013,4.803,4.975,5.2485,4.1164,7.48
5089,202.7610692,-39.4073053,---,4524,27,1.401,0.592,-0.281,0.231,4.521,0.012,3.999,0.012,3.647,0.011,4.8019,4.0574,3.5264,3.1879,3.6
7730,303.3252233,46.8156783,---,7998,48,2.849,0.074,-0.5,0.354,4.77,0.009,4.82,0.008,4.898,0.009,4.797,4.8192,4.9421,3.9841,5.1207
1427,67.6401358,16.1940125,---,8086,60,3.688,0.053,0.276,0.095,4.744,0.011,4.769,0.01,4.828,0.012,4.7948,4.7717,4.8683,3.9464,22.1875
1907,84.2266175,9.2906694,---,4782,26,3.229,0.358,-0.453,0.087,4.567,0.011,4.157,0.011,3.866,0.01,4.7944,4.2055,3.7645,3.3479,28.6722
