HR,RA(J2000),DEC(J2000),Double.Name,Teff(K),Error_Teff(K),logg,Error_logg,[M/H],Error_[M/H],standard_B,Error_standard_B,standard_G,Error_standard_G,standard_R,Error_standard_R,STC_B,STC_G,STC_R,STC_L,Parallax
6129,246.95078,-8.3717289,---,8163,58,4.014,0.06,0.188,0.405,4.583,0.012,4.602,0.01,4.661,0.012,4.6378,4.6056,4.7006,3.7832,24.42
4785,188.4356033,41.3574792,---,6054,36,4.446,0.287,0.0,0.066,4.496,0.012,4.286,0.008,4.149,0.007,4.6356,4.3071,4.1044,3.4885,118.0266
6030,243.8594575,-63.6856803,---,4721,36,1.755,0.314,-0.204,0.134,4.372,0.008,3.901,0.008,3.583,0.008,4.6332,3.9521,3.4747,3.0981,5.37
7891,309.6305786,21.2011797,---,9960,53,4.0,0.047,0.489,0.001,4.625,0.01,4.736,0.01,4.87,0.011,4.6282,4.7313,4.9432,3.8856,18.2449
1789,81.1867778,1.8464456,---,22744,516,4.33,0.253,-2.0,0.0,4.681,0.011,4.876,0.012,5.078,0.013,4.6271,4.8605,5.1818,3.9864,2.9321
2056,88.2786708,-33.8013633,---,13936,155,4.5,0.131,0.5,0.0,4.652,0.01,4.81,0.01,4.979,0.011,4.6266,4.8012,5.0675,3.9388,9.466
4222,161.7134167,-64.3834733,---,15570,1024,4.234,0.171,-2.0,1.853,4.654,0.011,4.813,0.012,4.986,0.013,4.6235,4.8008,5.0751,3.9405,6.6468
6688,268.3822067,56.8726428,---,4519,34,2.369,0.255,0.115,0.153,4.343,0.012,3.823,0.013,3.45,0.013,4.6222,3.8908,3.3265,2.9995,28.98
2209,94.7115681,69.3197864,---,9370,81,3.953,0.068,-0.5,0.0,4.604,0.009,4.694,0.01,4.814,0.011,4.6202,4.6896,4.8803,3.8522,18.64
8926,352.5080811,58.54892,---,15098,720,4.5,0.159,0.5,1.795,4.652,0.01,4.819,0.011,4.995,0.011,4.62,4.8091,5.0875,3.9435,4.8857
7141,284.0549228,4.2035867,---,8192,85,3.852,0.064,0.093,0.233,4.569,0.007,4.598,0.006,4.663,0.008,4.6177,4.5998,4.7054,3.7748,24.2696
1570,73.7238697,10.1508319,---,8782,59,4.0,0.043,0.0,0.512,4.583,0.008,4.648,0.008,4.747,0.01,4.6172,4.6471,4.8042,3.8167,28.04
3438,130.0255983,-35.3083514,---,5060,32,2.225,0.454,-0.094,0.101,4.389,0.013,4.0,0.011,3.737,0.01,4.6153,4.0405,3.648,3.205,7.84
7986,313.7025117,-58.4541561,---,4501,22,1.172,0.253,-0.07,0.129,4.317,0.01,3.762,0.009,3.391,0.009,4.6138,3.8245,3.2664,2.9494,5.33
77,5.0177497,-64.8747931,---,5837,38,4.019,0.21,-0.351,0.093,4.47,0.01,4.244,0.009,4.095,0.009,4.6099,4.2657,4.0429,3.4439,116.1826
8797,346.6534078,59.41976,---,19442,298,4.938,0.152,0.0,0.37,4.647,0.017,4.825,0.014,5.017,0.011,4.6082,4.8125,5.1162,3.9467,2.89
6707,269.6256211,30.1892742,---,6454,43,2.183,0.14,-0.502,0.16,4.513,0.011,4.407,0.009,4.346,0.009,4.599,4.4176,4.3302,3.5947,3.79
5570,224.2958336,-4.3464597,---,7226,88,3.759,0.112,-0.062,0.275,4.524,0.014,4.464,0.011,4.45,0.009,4.599,4.4721,4.4555,3.6528,36.3454
4518,176.5125586,47.7794064,---,4421,37,1.954,0.437,-0.225,0.205,4.318,0.012,3.792,0.009,3.422,0.01,4.597,3.8573,3.2958,2.9693,16.4382
879,44.6902911,39.6627261,---,8566,57,3.476,0.053,-0.558,0.371,4.57,0.009,4.639,0.01,4.737,0.013,4.5941,4.6361,4.792,3.8012,10.4437
6930,277.2993911,-14.5658144,---,8498,20,3.303,0.089,-0.556,0.371,4.571,0.01,4.64,0.01,4.737,0.011,4.5923,4.637,4.7919,3.801,10.21
4983,197.9683075,27.8781817,---,6100,40,4.428,0.235,0.098,0.076,4.451,0.01,4.245,0.008,4.11,0.008,4.5913,4.2659,4.0661,3.4474,108.725
8334,326.3621867,61.1208056,---,5669,22,0.714,0.05,-2.5,0.0,4.494,0.008,4.311,0.006,4.184,0.006,4.5906,4.3278,4.136,3.4927,0.48
3990,152.2343314,-51.8112608,---,15230,1159,3.911,0.208,0.5,1.853,4.629,0.011,4.801,0.011,4.977,0.012,4.5885,4.789,5.0683,3.9197,2.45
4247,163.3279369,34.2148717,---,4752,22,2.716,0.316,0.0,0.072,4.334,0.009,3.88,0.01,3.56,0.009,4.5882,3.9336,3.4523,3.0711,32.921
3582,134.2434069,-59.2293394,---,17223,1390,4.484,0.172,0.5,1.853,4.629,0.012,4.81,0.012,4.998,0.013,4.5874,4.7972,5.0961,3.9277,5.1705
1946,85.3238236,16.5341458,---,15100,728,4.422,0.231,0.5,1.232,4.619,0.01,4.787,0.01,4.963,0.01,4.586,4.7766,5.055,3.9105,5.13
5794,234.2560425,-28.1350814,---,4155,34,1.647,0.316,0.027,0.204,4.27,0.009,3.647,0.01,3.197,0.011,4.583,3.7355,3.0488,2.7944,14.58
3449,130.8214508,21.4685003,---,9248,5,3.987,0.046,-0.5,0.371,4.562,0.009,4.647,0.009,4.764,0.01,4.5822,4.6433,4.8282,3.8076,18.0
8939,353.3192625,-20.9145042,---,9142,68,3.5,0.041,-0.5,0.0,4.572,0.009,4.664,0.009,4.782,0.01,4.5814,4.6588,4.8469,3.8182,11.11
2155,91.5388475,-14.9352553,---,9056,66,3.867,0.088,-0.5,0.371,4.559,0.008,4.639,0.009,4.751,0.009,4.5809,4.6362,4.8137,3.8011,19.4991
5396,216.5450575,-45.3792783,---,6864,111,2.892,0.099,0.319,0.169,4.482,0.011,4.392,0.009,4.349,0.012,4.579,4.4033,4.344,3.5879,10.22
7773,305.1658983,-12.7590789,---,9969,63,3.989,0.063,0.5,0.0,4.576,0.009,4.688,0.01,4.822,0.011,4.5785,4.6825,4.8948,3.8366,12.88
179,10.5162308,50.5125256,---,15532,754,4.189,0.215,-2.0,1.803,4.609,0.012,4.768,0.012,4.941,0.012,4.578,4.7558,5.0297,3.8952,2.9022
1208,56.8097525,-74.2389636,---,3585,26,0.667,0.065,-0.602,0.236,4.216,0.014,3.398,0.012,2.804,0.017,4.5777,3.5329,2.616,2.4672,15.24
1810,81.9086836,21.936965,---,18017,906,4.5,0.149,0.226,1.853,4.619,0.012,4.799,0.013,4.989,0.014,4.5769,4.786,5.087,3.9176,5.22
3619,137.2177403,51.6046481,---,7536,68,3.771,0.081,0.5,0.0,4.496,0.012,4.458,0.008,4.462,0.008,4.5751,4.4662,4.479,3.6493,34.9307
985,49.9969694,65.6522917,---,16852,934,4.36,0.279,0.2,1.798,4.614,0.011,4.788,0.011,4.972,0.012,4.5748,4.7757,5.0668,3.9087,4.0589
4050,154.2707306,-61.3323022,---,4006,15,0.609,0.217,-0.192,0.216,4.226,0.012,3.511,0.012,3.014,0.011,4.5711,3.6097,2.8494,2.6431,4.96
1411,67.1437336,15.9621803,---,4992,19,2.892,0.48,0.097,0.1,4.332,0.008,3.923,0.009,3.64,0.008,4.5685,3.9689,3.5445,3.1232,21.13
1394,66.5864206,15.6182681,---,7416,116,3.346,0.104,0.019,0.21,4.502,0.012,4.473,0.009,4.484,0.008,4.5681,4.4783,4.501,3.6578,21.3958
8812,347.3616533,-21.1724114,---,4485,34,1.703,0.165,-0.04,0.095,4.279,0.008,3.74,0.008,3.369,0.01,4.5677,3.8041,3.2445,2.9226,12.671
5651,228.2066117,-44.5004125,---,16616,955,4.5,0.099,0.5,1.853,4.606,0.014,4.784,0.016,4.969,0.016,4.5675,4.772,5.0656,3.9034,6.47
3131,119.96688,-18.3992303,---,8498,41,3.508,0.049,-0.369,0.371,4.533,0.008,4.596,0.008,4.69,0.01,4.5604,4.5946,4.7441,3.7611,14.5984
539,27.865145,-10.3350358,---,4622,34,2.169,0.359,0.0,0.108,4.289,0.01,3.797,0.01,3.455,0.009,4.5588,3.8553,3.3398,2.9854,12.877
5429,217.9574567,30.3714383,---,4340,29,1.976,0.271,0.224,0.144,4.256,0.009,3.673,0.01,3.256,0.01,4.5575,3.753,3.1184,2.8357,19.855
2821,111.4316472,27.7980814,---,4806,21,2.964,0.387,0.0,0.131,4.311,0.01,3.876,0.008,3.568,0.009,4.556,3.9283,3.4646,3.0686,24.0201
8880,350.1593411,23.7403361,---,8063,79,3.659,0.08,-0.5,0.31,4.512,0.012,4.539,0.009,4.602,0.01,4.5543,4.5395,4.642,3.7128,20.7145
4205,161.0288144,-63.9610703,---,17732,1277,3.678,0.34,-2.0,1.853,4.593,0.012,4.766,0.012,4.949,0.011,4.5469,4.752,5.0427,3.8843,6.63
8454,332.4968489,33.1782217,---,6324,27,2.456,0.077,-0.083,0.092,4.435,0.012,4.292,0.01,4.205,0.009,4.5468,4.3069,4.1791,3.4894,12.4
8465,332.7136539,58.2012628,---,4092,58,0.011,0.552,-0.217,0.573,4.195,0.016,3.469,0.014,2.987,0.015,4.5467,3.5605,2.8276,2.616,3.9
127,7.8894858,-62.9655625,---,8579,119,4.337,0.057,-0.023,0.549,4.498,0.012,4.537,0.01,4.618,0.013,4.5453,4.5391,4.6685,3.7155,19.5923
8622,339.8153278,39.0502697,---,28202,1182,5.0,0.097,-1.013,1.403,4.606,0.013,4.816,0.014,5.034,0.016,4.5451,4.8,5.1454,3.9213,1.89
2803,109.2075994,-67.9571522,---,5448,38,1.797,0.189,-0.039,0.098,4.35,0.009,4.043,0.008,3.838,0.008,4.5441,4.0731,3.7693,3.253,4.42
4993,198.812255,-67.8945911,---,12247,105,4.579,0.079,0.5,0.0,4.555,0.01,4.696,0.01,4.854,0.011,4.5431,4.689,4.9381,3.8344,8.52
464,24.4981542,48.6282139,---,4418,36,2.331,0.222,0.444,0.139,4.242,0.013,3.669,0.008,3.253,0.009,4.5409,3.7504,3.118,2.8315,18.41
3159,120.083195,-63.5674561,---,16830,1306,4.359,0.183,-2.0,1.853,4.57,0.012,4.736,0.011,4.916,0.013,4.5363,4.7237,5.0083,3.8613,6.53
4923,195.5677697,-71.5488542,---,4418,27,2.382,0.239,0.0,0.116,4.252,0.007,3.724,0.01,3.34,0.009,4.532,3.7963,3.2121,2.8941,37.3886
7739,303.8162308,25.5919597,---,16585,896,4.423,0.193,0.5,1.853,4.569,0.011,4.747,0.012,4.932,0.012,4.5298,4.7353,5.0284,3.8663,5.6918
6102,248.3628492,-78.8971492,---,5039,39,3.73,0.893,0.035,0.084,4.305,0.012,3.925,0.008,3.653,0.008,4.5283,3.9706,3.5612,3.1214,21.3033
941,47.3740481,44.8575406,---,4918,34,3.343,0.418,0.2,0.102,4.287,0.012,3.869,0.011,3.568,0.012,4.5281,3.9206,3.468,3.0619,28.7314
3974,151.8573456,35.2446933,---,8089,52,4.0,0.071,0.0,0.277,4.474,0.01,4.487,0.007,4.541,0.008,4.5277,4.4896,4.5783,3.6679,35.41
8254,325.3693742,-77.3900433,---,4820,34,2.631,0.439,0.001,0.08,4.277,0.012,3.838,0.012,3.533,0.011,4.5251,3.8886,3.4299,3.0339,51.5172
7306,289.0543319,21.3904261,---,13674,499,4.379,0.213,0.1,1.598,4.548,0.01,4.698,0.011,4.863,0.01,4.5245,4.6882,4.9489,3.8299,4.2065
4248,163.4947514,43.1899578,---,9731,44,3.914,0.07,0.5,0.0,4.518,0.009,4.625,0.01,4.754,0.011,4.5243,4.6201,4.8253,3.7758,13.291
4377,169.6197361,33.0943086,---,4173,57,1.575,0.532,0.134,0.42,4.206,0.014,3.572,0.01,3.12,0.011,4.5243,3.6616,2.9708,2.721,8.17
6141,247.5519797,-25.1152233,---,16673,228,4.725,0.256,0.5,0.0,4.559,0.012,4.735,0.013,4.92,0.013,4.5237,4.7234,5.0166,3.8566,7.89
63,4.2729119,38.6816361,---,8857,65,3.834,0.071,0.0,0.519,4.495,0.007,4.568,0.008,4.673,0.01,4.5223,4.5663,4.7322,3.7328,18.8747
1617,75.359775,-7.1739628,---,16727,211,4.5,0.125,0.5,0.0,4.561,0.009,4.739,0.01,4.925,0.01,4.522,4.7275,5.0221,3.8587,4.41
8001,313.3114792,44.3872614,---,14191,968,4.46,0.17,0.5,1.853,4.548,0.012,4.709,0.011,4.879,0.012,4.5205,4.6994,4.9684,3.8359,6.21
1148,57.5896206,71.3322633,---,8615,70,3.241,0.072,-1.0,0.0,4.504,0.007,4.58,0.007,4.684,0.009,4.5198,4.5767,4.741,3.7383,9.09
8984,355.5116922,1.7800411,---,8027,59,3.881,0.077,0.107,0.354,4.464,0.009,4.476,0.009,4.527,0.011,4.5193,4.4791,4.5633,3.657,31.197
3467,130.6057761,-53.1139842,---,16811,1268,4.329,0.25,-2.0,1.853,4.552,0.011,4.718,0.011,4.897,0.012,4.5175,4.7053,4.9897,3.8427,6.6507
4732,186.6323314,-51.4506361,---,15925,720,4.082,0.186,-2.0,1.853,4.551,0.012,4.712,0.014,4.887,0.015,4.5163,4.6998,4.977,3.8377,7.3452
8787,346.7197103,-43.5203572,---,6826,39,3.38,0.05,0.5,0.0,4.405,0.009,4.294,0.01,4.233,0.014,4.5144,4.3078,4.2225,3.4937,24.73
1464,68.8876597,-30.5623417,---,5019,33,2.937,0.36,0.09,0.111,4.281,0.012,3.88,0.011,3.602,0.01,4.5143,3.9247,3.5086,3.0807,15.25
1070,52.6544092,-5.0751456,---,11012,76,3.943,0.114,0.5,0.0,4.526,0.009,4.659,0.01,4.806,0.01,4.5122,4.6512,4.885,3.7966,8.07
8181,321.6108536,-65.3661983,---,6105,47,3.918,0.163,-0.768,0.112,4.405,0.012,4.231,0.009,4.117,0.008,4.5114,4.2476,4.0778,3.4218,108.0102
7582,297.0431283,70.2679303,---,5090,36,3.186,0.6,-0.132,0.111,4.292,0.011,3.925,0.01,3.671,0.01,4.5061,3.9643,3.5838,3.1259,21.3219
1324,64.5609036,50.2955017,---,8882,59,3.686,0.116,-1.0,0.0,4.485,0.008,4.562,0.007,4.67,0.009,4.5055,4.5591,4.73,3.7231,8.5467
4368,169.165415,-3.6516047,---,7642,44,3.221,0.053,-0.004,0.146,4.446,0.012,4.447,0.01,4.483,0.011,4.5004,4.4506,4.5114,3.6261,17.71
1035,52.2672164,59.9403325,---,6178,48,3.189,0.102,-2.5,0.0,4.424,0.012,4.287,0.008,4.195,0.007,4.5002,4.2988,4.1619,3.4646,1.0527
8368,329.4794731,-54.9925761,---,7538,123,3.532,0.071,0.269,0.15,4.43,0.011,4.403,0.009,4.417,0.012,4.5002,4.4096,4.4371,3.5906,17.34
7217,286.1707575,-21.7414958,---,4817,30,3.271,0.308,0.138,0.08,4.253,0.008,3.819,0.009,3.503,0.009,4.5001,3.8745,3.3983,3.0075,23.8121
854,43.5644211,52.7624789,---,5316,31,1.983,0.207,-0.301,0.158,4.308,0.011,3.989,0.009,3.774,0.01,4.4986,4.0195,3.6999,3.1942,12.3726
123,7.9431639,54.522285,---,11649,104,4.253,0.181,0.5,0.0,4.51,0.01,4.648,0.01,4.801,0.01,4.497,4.6408,4.8829,3.7858,8.64
7371,290.1670556,65.7145306,---,8914,92,3.627,0.08,0.5,0.649,4.471,0.01,4.552,0.011,4.659,0.013,4.4926,4.5502,4.7202,3.7126,14.25
4603,181.0800628,-63.1657094,---,15998,737,5.0,0.0,-2.0,2.153,4.511,0.013,4.666,0.015,4.842,0.016,4.4906,4.656,4.9333,3.8004,4.7314
1373,65.7337189,17.5425136,---,4987,37,2.733,0.554,0.2,0.15,4.247,0.012,3.827,0.01,3.535,0.011,4.4902,3.8741,3.4383,3.0267,20.3092
7928,310.8647225,15.0745769,---,7120,59,3.332,0.107,-0.271,0.211,4.414,0.012,4.358,0.01,4.344,0.01,4.485,4.3648,4.3492,3.5437,14.61
5839,235.6709253,-34.7104061,---,14184,1012,4.562,0.1,0.5,1.853,4.511,0.009,4.671,0.008,4.84,0.009,4.485,4.6612,4.93,3.7987,8.97
5982,240.6995736,46.0367047,---,11540,85,4.0,0.069,0.5,0.0,4.502,0.009,4.642,0.009,4.793,0.01,4.4848,4.6338,4.8744,3.7766,8.7194
5359,214.7774681,-13.3710961,---,8498,24,3.85,0.05,0.463,0.222,4.442,0.008,4.493,0.008,4.575,0.009,4.4846,4.4944,4.6266,3.6655,17.49
3080,118.0542989,-40.5757867,---,4664,34,2.57,0.584,-0.316,0.215,4.234,0.011,3.783,0.011,3.466,0.01,4.4819,3.8359,3.3569,2.9723,8.9838
575,30.4893764,70.907025,---,8185,81,3.946,0.083,0.0,0.359,4.431,0.012,4.456,0.008,4.519,0.009,4.4814,4.4582,4.5606,3.6344,28.36
3894,148.0264767,54.0643322,---,8771,49,3.5,0.055,-0.284,0.741,4.461,0.011,4.538,0.011,4.645,0.013,4.4803,4.5351,4.7037,3.6984,6.41
4257,163.3735636,-58.8531711,---,4908,38,3.459,0.398,-0.15,0.139,4.253,0.011,3.856,0.009,3.573,0.009,4.4802,3.9039,3.4765,3.0503,33.5225
8402,330.8285167,-2.1553631,---,12245,145,3.884,0.154,0.5,0.0,4.505,0.009,4.652,0.01,4.808,0.01,4.4801,4.6436,4.8911,3.7823,7.49
8665,341.673255,12.1728847,---,6196,70,3.787,0.207,-0.359,0.133,4.365,0.013,4.194,0.011,4.084,0.009,4.4775,4.2103,4.0478,3.3883,60.9161
2571,103.3871133,-20.224255,---,24531,723,4.5,0.424,-2.0,0.0,4.533,0.011,4.734,0.013,4.942,0.014,4.4762,4.7185,5.0487,3.8422,2.68
4775,188.0176106,-16.1960044,---,6964,57,4.076,0.106,0.0,0.116,4.388,0.009,4.295,0.007,4.25,0.008,4.4755,4.3056,4.2433,3.4865,54.8135
2077,89.8818,54.2846583,---,4894,27,2.657,0.508,0.107,0.088,4.228,0.009,3.797,0.009,3.498,0.009,4.4742,3.8465,3.3977,2.9951,23.0557
7328,289.2757028,53.3684592,---,5024,30,2.652,0.745,0.08,0.113,4.239,0.011,3.835,0.011,3.557,0.008,4.4738,3.879,3.4643,3.0372,26.27
7426,292.9430078,34.4529686,---,16012,683,4.0,0.272,-2.0,1.853,4.508,0.013,4.671,0.014,4.846,0.014,4.4724,4.6583,4.9362,3.7955,3.79
6436,259.4177261,37.2914997,---,9201,64,3.904,0.106,-0.5,0.0,4.452,0.008,4.537,0.008,4.653,0.009,4.471,4.5332,4.7172,3.697,18.6546
4468,174.1704722,-9.8022475,---,10456,75,4.0,0.025,0.5,0.0,4.471,0.011,4.594,0.012,4.736,0.013,4.4662,4.588,4.8126,3.7379,11.63
6582,266.4332753,-64.7238719,---,4580,33,1.888,0.439,0.116,0.207,4.183,0.009,3.662,0.009,3.302,0.008,4.466,3.7237,3.1819,2.8479,9.26
74,4.8569756,-8.8239197,---,4490,34,1.898,0.28,0.034,0.133,4.178,0.009,3.641,0.01,3.267,0.011,4.4658,3.7067,3.1421,2.8214,11.88
7947,311.661885,16.1241367,HR7948,5220,31,4.059,0.736,0.0,0.06,4.256,0.01,3.912,0.009,3.67,0.007,4.4631,3.952,3.5876,3.113,27.8884
2818,111.6785494,49.2115253,---,9266,58,3.597,0.13,0.0,0.729,4.454,0.01,4.549,0.011,4.67,0.011,4.4629,4.5442,4.7364,3.703,11.92
1638,76.1422881,15.4041047,---,9998,58,3.617,0.093,0.5,0.0,4.468,0.011,4.586,0.011,4.722,0.012,4.4611,4.5798,4.7952,3.7293,8.93
6117,246.3539761,14.0332697,---,9438,78,3.871,0.082,-0.328,0.624,4.446,0.008,4.54,0.009,4.663,0.01,4.4584,4.5355,4.7304,3.6963,13.1034
8204,321.6667764,-22.4113344,---,5158,40,2.663,0.285,0.349,0.081,4.219,0.013,3.826,0.012,3.554,0.012,4.4539,3.87,3.4642,3.0302,8.46
2878,112.3076269,-43.3014333,---,3808,122,0.934,0.516,-0.576,0.781,4.109,0.016,3.378,0.015,2.841,0.013,4.4481,3.4948,2.6652,2.4797,17.0234
7061,281.4155239,20.5463103,---,6592,67,4.019,0.093,0.04,0.113,4.342,0.012,4.208,0.009,4.128,0.008,4.4478,4.2223,4.1066,3.4038,51.6743
8301,325.5236025,51.1896228,---,14863,650,4.085,0.261,0.5,0.649,4.484,0.013,4.653,0.013,4.827,0.013,4.4473,4.6417,4.9175,3.7739,1.89
402,21.0058553,-8.1832558,---,4739,36,2.745,0.486,0.076,0.133,4.187,0.011,3.726,0.01,3.399,0.009,4.4453,3.7823,3.2899,2.9158,29.0339
5221,208.3022481,-31.9276097,---,14154,670,4.5,0.083,-2.5,1.761,4.463,0.011,4.609,0.011,4.774,0.012,4.4435,4.5991,4.8602,3.7444,4.8225
896,44.9287494,8.9073583,---,12646,142,4.29,0.184,0.5,0.0,4.464,0.008,4.612,0.009,4.772,0.009,4.4432,4.6039,4.8567,3.7445,5.66
9016,357.2314442,-28.1302706,---,9551,81,3.961,0.06,0.0,0.36,4.43,0.01,4.527,0.011,4.653,0.012,4.4426,4.523,4.7215,3.6833,22.7296
5842,235.3877278,19.6703994,---,8998,74,3.936,0.12,-1.0,1.112,4.416,0.005,4.492,0.006,4.601,0.008,4.4415,4.4897,4.6621,3.6559,17.16
707,37.2664492,67.4024769,---,8351,76,4.111,0.046,-0.407,0.305,4.395,0.011,4.427,0.008,4.5,0.009,4.4404,4.4284,4.545,3.604,24.55
5885,237.7447689,-25.7512958,---,16998,168,5.0,0.0,-1.478,0.815,4.465,0.013,4.627,0.013,4.807,0.014,4.4404,4.6156,4.9002,3.7577,6.7811
68,4.5819061,36.7852253,---,8803,42,3.918,0.075,0.0,0.507,4.409,0.008,4.477,0.009,4.578,0.012,4.4396,4.4754,4.6358,3.6437,23.2542
2034,88.3318586,27.6122606,---,9256,38,3.522,0.074,0.5,0.371,4.432,0.008,4.531,0.009,4.652,0.009,4.4396,4.527,4.7182,3.6831,7.71
5733,231.1226181,37.377155,---,7303,60,3.778,0.127,0.114,0.147,4.36,0.011,4.305,0.008,4.295,0.009,4.437,4.3133,4.3036,3.4949,26.5759
1044,52.3418758,49.5089475,---,13959,419,4.444,0.221,0.5,0.371,4.461,0.01,4.62,0.009,4.789,0.01,4.435,4.6111,4.8775,3.7482,5.7184
3574,134.0802625,-52.7234747,---,14626,603,4.515,0.105,-2.5,2.224,4.456,0.01,4.605,0.011,4.773,0.011,4.434,4.5949,4.8604,3.739,8.2981
4382,169.8351981,-14.7785392,---,4582,29,2.161,0.376,-0.202,0.124,4.168,0.011,3.682,0.01,3.343,0.01,4.4323,3.7391,3.227,2.8686,17.017
937,47.2667494,49.6132778,---,5960,59,3.941,0.192,0.05,0.148,4.281,0.011,4.059,0.009,3.913,0.008,4.4275,4.0809,3.8646,3.2623,94.5412
1560,73.2236247,-5.4526936,---,7405,71,3.123,0.07,0.085,0.173,4.362,0.01,4.338,0.007,4.352,0.008,4.4264,4.3429,4.3705,3.5216,13.88
8417,330.9477292,64.6279758,---,7057,87,3.785,0.121,0.317,0.13,4.33,0.012,4.244,0.01,4.206,0.009,4.4222,4.2553,4.2035,3.4387,33.79
612,31.1226608,-29.2968189,---,14282,812,4.036,0.164,-2.0,1.853,4.448,0.01,4.599,0.009,4.765,0.01,4.4204,4.5874,4.85,3.7289,8.79
1765,80.4406125,-0.3824639,---,17825,1097,4.447,0.212,0.5,1.853,4.461,0.01,4.645,0.011,4.836,0.012,4.4173,4.632,4.9356,3.7616,2.8587
5328,213.3658631,51.7878478,HR5329,7831,57,3.712,0.089,0.121,0.145,4.358,0.011,4.358,0.007,4.397,0.008,4.4165,4.3621,4.4276,3.5404,21.198
799,41.0499461,49.2284475,---,6373,60,4.149,0.199,-0.019,0.137,4.3,0.011,4.138,0.009,4.037,0.009,4.4159,4.1542,4.0059,3.3357,89.685
2296,95.5284514,-33.4363978,---,5200,26,2.923,0.484,-0.039,0.104,4.204,0.009,3.85,0.008,3.608,0.008,4.4141,3.8865,3.5257,3.0542,15.049
801,40.8629661,27.7071453,---,15066,1136,4.5,0.107,0.5,1.853,4.444,0.009,4.612,0.009,4.788,0.01,4.413,4.6017,4.8797,3.7362,5.2876
458,24.1993422,41.4054567,---,6191,76,3.902,0.174,-0.109,0.18,4.288,0.011,4.107,0.009,3.99,0.009,4.411,4.1243,3.9528,3.3051,74.194
840,42.6460825,38.3186411,---,6899,60,3.252,0.086,0.035,0.117,4.319,0.012,4.235,0.011,4.196,0.01,4.4054,4.2446,4.1921,3.426,25.8445
8969,354.9876725,5.6262911,---,6329,32,4.0,0.146,0.0,0.107,4.287,0.008,4.12,0.008,4.016,0.008,4.4053,4.1369,3.9834,3.3187,72.92
6703,269.4411906,29.24788,---,5039,31,3.108,0.423,0.117,0.144,4.174,0.009,3.779,0.008,3.504,0.008,4.4052,3.8241,3.4111,2.9795,23.84
4940,196.5696006,-48.4632906,---,14310,1067,4.5,0.148,0.5,1.853,4.431,0.012,4.593,0.012,4.764,0.014,4.4039,4.5836,4.854,3.7201,8.1592
4599,180.7562553,-63.3129281,---,7722,116,3.872,0.13,0.0,0.246,4.341,0.01,4.324,0.01,4.351,0.016,4.4034,4.3291,4.3757,3.5095,14.5878
1887,83.7611697,-6.0020289,---,27824,746,4.675,0.364,-2.0,0.0,4.46,0.011,4.672,0.013,4.889,0.014,4.3966,4.6553,5.0002,3.7747,2.02
2238,94.9057692,59.0109633,---,9248,35,3.993,0.062,-0.5,0.0,4.374,0.009,4.459,0.01,4.576,0.011,4.395,4.4558,4.6407,3.6202,20.83
3856,144.8374978,-61.3280603,---,10766,23,4.507,0.039,0.5,0.0,4.391,0.01,4.512,0.01,4.656,0.01,4.3947,4.5067,4.7348,3.6607,14.4791
1392,66.5769319,22.8135803,---,7264,83,3.141,0.076,0.009,0.16,4.324,0.01,4.284,0.008,4.284,0.008,4.394,4.2899,4.2964,3.4699,21.21
813,41.2355875,10.1141414,---,7282,69,3.693,0.113,0.213,0.19,4.313,0.01,4.256,0.008,4.243,0.008,4.3919,4.2638,4.2507,3.446,37.5924
4460,173.6902325,-54.2640922,---,10639,57,4.0,0.006,0.5,0.0,4.397,0.012,4.524,0.013,4.668,0.014,4.3895,4.517,4.7452,3.6655,7.65
5338,214.0036231,-6.0005453,---,6193,51,3.725,0.217,-0.181,0.139,4.27,0.012,4.093,0.01,3.98,0.01,4.3893,4.1104,3.9433,3.2904,44.97
8431,332.0958669,-32.9884689,---,8947,82,3.641,0.086,-1.0,0.371,4.369,0.01,4.451,0.012,4.562,0.014,4.3876,4.4472,4.6227,3.6101,27.0888
8852,349.2914061,3.2822883,---,4855,36,2.743,0.617,-0.5,0.053,4.159,0.013,3.76,0.01,3.486,0.01,4.3805,3.8029,3.3898,2.9572,23.64
7150,284.4324961,-21.1066558,---,4541,29,1.914,0.442,0.032,0.173,4.095,0.009,3.573,0.009,3.211,0.009,4.3778,3.6353,3.0895,2.7572,8.93
7056,281.1931556,37.6051158,---,7938,39,3.516,0.03,0.5,0.004,4.318,0.012,4.335,0.009,4.384,0.009,4.3763,4.3398,4.4205,3.5153,20.89
6712,270.0658261,4.3686156,---,17998,180,5.0,0.0,0.0,0.077,4.407,0.009,4.578,0.01,4.763,0.011,4.3749,4.5659,4.8592,3.7033,5.01
2650,106.0272117,20.5702983,---,5459,54,1.321,0.229,-0.17,0.105,4.176,0.011,3.878,0.009,3.678,0.008,4.3658,3.9061,3.6108,3.0869,3.0729
2385,98.2259561,7.3329706,---,9904,69,2.758,0.129,-1.5,0.556,4.381,0.01,4.493,0.009,4.622,0.009,4.365,4.4833,4.6896,3.6331,1.2159
3803,142.8054956,-57.0343772,---,3836,95,0.948,0.474,-0.133,0.608,4.018,0.017,3.278,0.012,2.743,0.01,4.3649,3.3932,2.5718,2.3852,13.65
5904,238.402995,-25.3271414,---,16432,710,4.864,0.171,-1.5,1.483,4.389,0.01,4.548,0.011,4.725,0.012,4.3643,4.537,4.8174,3.6793,6.49
